Master Subject ID,Subject Sex,APD Race,Subject Resistance,Subject Effects,Council District,Date Occurred,ZIP,CENSUS_TRACT,LOCATION,X_COORDINATE,Y_COORDINATE,COUNTY
459831203: 20192020381,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,10,07/21/2019 12:00:00 AM,78731,17.05,4811 SPICEWOOD SPRINGS RD,3106797,10110248,1
211551155: 20192020202,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,07/21/2019 12:00:00 AM,78701,11,323 E 6TH ST,3115325,10070387,1
1223997: 20192020202,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/21/2019 12:00:00 AM,78701,11,323 E 6TH ST,3115325,10070387,1
459829390: 20192020202,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/21/2019 12:00:00 AM,78701,11,323 E 6TH ST,3115325,10070387,1
288837752: 20192020383,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,07/21/2019 12:00:00 AM,78753,18.39,12945 HEYERDAHL DR,3142001,10120378,1
177605923: 20192010089,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/20/2019 12:00:00 AM,78745,20,629 W BEN WHITE BLVD SVRD EB,3105655,10055220,1
459129230: 20192011454,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/20/2019 12:00:00 AM,78751,15,5555 N LAMAR BLVD,3119230,10091106,1
97322018: 20192010188,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/20/2019 12:00:00 AM,78701,11,323 E 6TH ST,3115325,10070387,1
459829351: 20192010108,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/20/2019 12:00:00 AM,78702,-,502 BRUSHY ST,3117124,10069606,1
246810074: 20192011302,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,7,07/20/2019 12:00:00 AM,78756,2,5808 BURNET RD,3114295,10094831,1
459828816: 20192000088,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,7,07/19/2019 12:00:00 AM,78758,18.45,900 NORTH BEND DR,3131012,10113880,1
169346155: 20192001628,M,H,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/19/2019 12:00:00 AM,78721,21,3811 E 12TH ST,3130796,10074307,1
333578884: 20192001521,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/19/2019 12:00:00 AM,78741,23,2300 E RIVERSIDE DR,3119995,10059932,1
288630638: 20192001751,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,07/19/2019 12:00:00 AM,78759,17.54,W BRAKER LN / RESEARCH BLVD SVRD NB,3112342,10118833,1
194117954: 20192000610,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,4,07/19/2019 12:00:00 AM,78758,18.45,901 W BRAKER LN,3130349,10112811,1
380109093: 20192001915,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,1,07/19/2019 12:00:00 AM,78721,21.11,1054 SPRINGDALE RD,3129983,10072500,1
4653485: 20191991400,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/18/2019 12:00:00 AM,78752,18.11,7523 GLENHILL RD,3131475,10093703,1
301402419: 20191982017,F,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,2,07/18/2019 12:00:00 AM,78744,24.13,4600 CEDARGROVE DR,3114993,10045754,1
459635918: 20191990880,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/18/2019 12:00:00 AM,78705,2,2915 SAN GABRIEL ST,3112777,10081813,1
209126047: 20191990516,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/18/2019 12:00:00 AM,78701,11,700 NECHES ST,3115843,10070697,1
238027115: 20191990748,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,4,07/18/2019 12:00:00 AM,78753,18,501 DEEN AVE,3126957,10102645,1
318900470: 20191991740,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,07/18/2019 12:00:00 AM,78745,17.28,1804 MATTHEWS LN,3095071,10045320,1
5574008: 20191991302,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,07/18/2019 12:00:00 AM,78705,6,2700 NUECES ST,3113981,10079478,1
319029538: 20191981664,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3,07/17/2019 12:00:00 AM,78741,23,1723 E OLTORF ST,3116017,10057903,1
459804079: 20191981794,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/17/2019 12:00:00 AM,78723,3,4900 MUELLER BLVD,3125556,10083907,1
165089030: 20196900349,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,7,07/17/2019 12:00:00 AM,78660,18.40,1200 W HOWARD LN,3136012,10128062,1
131671419: 20191980661,M,B,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,3,07/17/2019 12:00:00 AM,78704,23,2515 S CONGRESS AVE,3110749,10059314,1
459560846: 20191981691,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/17/2019 12:00:00 AM,78741,23.12,1214 VARGAS RD,3129060,10057165,1
459761858: 20191980886,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/17/2019 12:00:00 AM,78753,18.23,9400 N IH 35 SVRD SB,3130599,10104197,1
186911402: 20191981691,F,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/17/2019 12:00:00 AM,78741,23.12,1214 VARGAS RD,3129060,10057165,1
51380711: 20191981124,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/17/2019 12:00:00 AM,78741,23.13,2504 HUNTWICK DR,3119484,10055306,1
459829143: 20191981014,F,H,AGGRESSIVE RESISTANCE,MINOR INJURY,7,07/17/2019 12:00:00 AM,78758,18.49,12000 BURNET RD,3122110,10121641,1
135278752: 20191980254,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,6,07/17/2019 12:00:00 AM,78726,17.14,9009 N FM 620 RD,3082092,10129758,1
302391987: 20191980063,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,1,07/17/2019 12:00:00 AM,78702,8,3412 WEBBERVILLE RD,3125870,10071982,1
459664018: 20191981691,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/17/2019 12:00:00 AM,78741,23.12,1214 VARGAS RD,3129060,10057165,1
459830174: 20191970433,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/16/2019 12:00:00 AM,78758,18.05,8552 N LAMAR BLVD,3125171,10102580,1
459585156: 20191971719,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/16/2019 12:00:00 AM,78701,11,700 NECHES ST,3115843,10070697,1
459044380: 20191970931,F,H,DEFENSIVE RESISTANCE,MINOR INJURY,7,07/16/2019 12:00:00 AM,78759,17.53,9901 N CAPITAL OF TEXAS HWY NB,3114031,10115218,1
180683834: 20191970051,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,9,07/16/2019 12:00:00 AM,78701,11,500 E 7TH ST,3115951,10070759,1
382666903: 20191970159,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/16/2019 12:00:00 AM,78723,21.12,2505 WHELESS LN,3132953,10086336,1
458994951: 20191971311,M,H,NOT RESISTANT,NO COMPLAINT OF INJURY/PAIN,3,07/16/2019 12:00:00 AM,78741,23.18,1200 MONTOPOLIS DR,3128338,10058011,1
10749404: 20196900350,M,H,PREPARATORY RESISTANCE,MINOR INJURY,4,07/16/2019 12:00:00 AM,78752,18.12,1400 E ANDERSON LN SVRD EB,3131359,10094583,1
459497739: 20191970303,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/16/2019 12:00:00 AM,78758,18.21,1934 RUTLAND DR,3122756,10111570,1
135400104: 20191971311,M,H,NOT RESISTANT,NO COMPLAINT OF INJURY/PAIN,3,07/16/2019 12:00:00 AM,78741,23.18,1200 MONTOPOLIS DR,3128338,10058011,1
459817018: 20191970961,M,H,PREPARATORY RESISTANCE,MINOR INJURY,3,07/16/2019 12:00:00 AM,78741,23.14,MONTOPOLIS DR / E OLTORF ST,3125026,10051714,1
314052378: 20191971311,M,B,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/16/2019 12:00:00 AM,78741,23.18,1200 MONTOPOLIS DR,3128338,10058011,1
459696525: 20191971719,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/16/2019 12:00:00 AM,78701,11,700 NECHES ST,3115843,10070697,1
170209289: 20191970028,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/16/2019 12:00:00 AM,78721,21.10,1161 EASTFIELD AVE,3132415,10074644,1
72484505: 20191970005,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,07/16/2019 12:00:00 AM,78744,24.25,515 E SLAUGHTER LN,3103831,10032503,1
459786679: 20191971558,M,A,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,7,07/16/2019 12:00:00 AM,78727,-,12536 ENCHANTED FOREST DR,3117175,10128898,1
17434793: 20196900352,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,07/16/2019 12:00:00 AM,78745,-,4430 MANCHACA RD,3099912,10056139,1
208210326: 20191960006,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,2,07/15/2019 12:00:00 AM,78744,-,5205 SPRING MEADOW RD,3117064,10044963,1
459827272: 20191961652,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,10,07/15/2019 12:00:00 AM,78746,19.12,3600 N CAPITAL OF TEXAS HWY SB,3093381,10094737,1
458925945: 20191961506,F,W,DEFENSIVE RESISTANCE,MINOR INJURY,8,07/15/2019 12:00:00 AM,78749,-,7009 COLBERG CT,3069041,10050510,1
459823549: 20191961217,M,H,AGGRESSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,7,07/15/2019 12:00:00 AM,78757,15,902 ROMERIA DR,3119511,10093736,1
459169816: 20191961647,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,07/15/2019 12:00:00 AM,78753,18.26,12118 WALNUT PARK XING,3134045,10116652,1
180420891: 20191961265,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,3,07/15/2019 12:00:00 AM,78745,24,4352 S IH 35 SVRD SB,3110847,10050259,1
459781770: 20191961316,F,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,07/15/2019 12:00:00 AM,78748,-,151 W SLAUGHTER LN,3100028,10033675,1
458966170: 20191960628,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,4,07/15/2019 12:00:00 AM,78751,15,5555 N LAMAR BLVD,3119230,10091106,1
459826635: 20191950352,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/14/2019 12:00:00 AM,78724,22.08,6305 TOSCANA AVE,3146518,10080536,1
458907723: 20191950180,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/14/2019 12:00:00 AM,78753,18.23,401 MASTERSON PASS,3129981,10108209,1
459691370: 20191950401,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/14/2019 12:00:00 AM,78702,9,601 N IH 35 SVRD NB,3117100,10069985,1
378734964: 20191951482,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/14/2019 12:00:00 AM,78701,7,1500 RED RIVER ST,3116901,10073857,1
259719547: 20191951533,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/14/2019 12:00:00 AM,78724,22,6600 ED BLUESTEIN BLVD NB,3139693,10086046,1
459826570: 20191950367,M,H,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/14/2019 12:00:00 AM,78724,22.02,6100 BLOCK LOYOLA LN,3142991,10083653,1
459508981: 20191951844,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/14/2019 12:00:00 AM,78704,13,2301 DURWOOD ST,3109883,10061111,1
459564872: 20191950233,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,07/14/2019 12:00:00 AM,78701,11,600 BLOCK TRINITY ST,3115448,10070595,1
459828968: 20191950246,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/14/2019 12:00:00 AM,78701,-,615 RED RIVER ST,3116253,10070465,1
459161792: 20191950360,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/14/2019 12:00:00 AM,78752,-,7111 GRAND CANYON DR,3129116,10092808,1
171966960: 20191951111,F,W,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,07/14/2019 12:00:00 AM,78745,-,744 W WILLIAM CANNON DR,3100231,10045069,1
459826618: 20191951861,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,07/14/2019 12:00:00 AM,78701,11,320 E 6TH ST,3115358,10070561,1
313721117: 20191941347,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,07/13/2019 12:00:00 AM,78757,15,7708 BURNET RD,3116774,10101999,1
459239923: 20191941634,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,07/13/2019 12:00:00 AM,78745,24.22,7001 S CONGRESS AVE,3103212,10041689,1
459826344: 20191940817,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/13/2019 12:00:00 AM,78701,7,1500 RED RIVER ST,3116901,10073857,1
197329311: 20191941936,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,1,07/13/2019 12:00:00 AM,78752,-,1400 CORONADO HILLS DR,3130434,10093275,1
459826690: 20191941634,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,07/13/2019 12:00:00 AM,78745,24.22,7001 S CONGRESS AVE,3103212,10041689,1
459826516: 20191940240,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,07/13/2019 12:00:00 AM,78744,-,5500 SAPOTE CT,3113024,10044257,1
208667664: 20191930034,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/12/2019 12:00:00 AM,78753,18,GEORGIAN DR / E POWELL LN,3126131,10099946,1
458883375: 20191930299,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/12/2019 12:00:00 AM,78721,21.11,4709 PROCK LN,3130649,10071769,1
459826500: 20191932102,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/12/2019 12:00:00 AM,78701,11,501 E 6TH ST,3115783,10070219,1
85328337: 20191931516,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,07/12/2019 12:00:00 AM,78617,-,3000 BLOCK ROYSTER AVE,3147353,10048912,1
459820503: 20191931122,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/12/2019 12:00:00 AM,78701,11,700 BLOCK NECHES ST,3115885,10070835,1
458975926: 20191920069,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,07/11/2019 12:00:00 AM,78748,-,MANCHACA RD / OLD MANCHACA RD,3087643,10032334,1
459779550: 20191920250,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,07/11/2019 12:00:00 AM,78751,3,1000 E 41ST ST,3121344,10082703,1
459731849: 20191920250,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,9,07/11/2019 12:00:00 AM,78751,3,1000 E 41ST ST,3121344,10082703,1
459007999: 20191920144,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/11/2019 12:00:00 AM,78702,8,1100 N IH 35 NB,3117506,10071953,1
459070944: 20191911569,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,07/10/2019 12:00:00 AM,78758,17.53,10515 N MOPAC EXPY SVRD NB,3116529,10116684,1
373621701: 20191910395,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,4,07/10/2019 12:00:00 AM,78723,-,5340 CAMERON RD,3125268,10086997,1
378732915: 20191911615,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,07/10/2019 12:00:00 AM,78744,-,5013 ALLYSON CT,3114091,10045212,1
33103046: 20191910352,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,1,07/10/2019 12:00:00 AM,78702,9,1000 SAN MARCOS ST,3117902,10071207,1
459398670: 20191900445,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,4,07/09/2019 12:00:00 AM,78751,21.05,5518 HELEN ST,3123720,10088895,1
459412617: 20191901235,F,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/09/2019 12:00:00 AM,78753,18,8300 N IH 35 SVRD SB,3128202,10099438,1
184615385: 20191901924,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/09/2019 12:00:00 AM,78701,11,522 E 6TH ST,3116058,10070335,1
17039982: 20191901714,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,4,07/09/2019 12:00:00 AM,78758,18.22,10500 N LAMAR BLVD,3129679,10109661,1
119281019: 20191900405,M,B,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,07/09/2019 12:00:00 AM,78758,-,2900 ESPERANZA XING,3120404,10118524,1
5006510: 20191900790,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/09/2019 12:00:00 AM,78701,11,85 TRINITY ST,3114906,10068359,1
459398669: 20191900445,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,4,07/09/2019 12:00:00 AM,78751,21.05,5518 HELEN ST,3123720,10088895,1
334825364: 20196900009,F,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,4,07/08/2019 12:00:00 AM,78753,18.04,100 BLOCK W POWELL LN,3125119,10100449,1
459503450: 20191891607,F,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/08/2019 12:00:00 AM,78724,-,5701 JOHNNY MORRIS RD,3142785,10080215,1
310051636: 20191891280,M,B,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,1,07/08/2019 12:00:00 AM,78723,21.06,5800 WELLINGTON DR,3131148,10086648,1
288775491: 20191890675,M,W,PASSIVE RESISTANCE,MINOR INJURY,4,07/08/2019 12:00:00 AM,78751,21,937 REINLI ST,3124358,10089345,1
291046076: 20191891426,M,B,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,1,07/08/2019 12:00:00 AM,78723,-,5605 SPRINGDALE RD,3135853,10082626,1
459184687: 20191890401,F,W,PASSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,5,07/08/2019 12:00:00 AM,78745,-,4409 MANCHACA RD,3100130,10056106,1
263848270: 20191891665,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,1,07/08/2019 12:00:00 AM,78723,21.12,7224 NORTHEAST DR,3133640,10090689,1
1221052: 20191880225,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
170220313: 20191880752,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78722,3.07,1300 CRESTWOOD RD,3123075,10082631,1
1220855: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
1220937: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
459824619: 20191880225,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
459827463: 20191880270,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,600 BLOCK NECHES ST,3115785,10070494,1
1222166: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
459133836: 20191880185,M,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,404 E 6TH ST,3115542,10070511,1
1221412: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
1222167: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
458814725: 20191881816,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,2,07/07/2019 12:00:00 AM,78744,24.11,1700 TERI RD,3110784,10047817,1
1220893: 20191880225,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
459825442: 20191880104,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,2,07/07/2019 12:00:00 AM,78744,24.19,6201 SNEED CV,3108421,10043651,1
1220854: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
1222008: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
33555644: 20191880983,M,H,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,3,07/07/2019 12:00:00 AM,78745,24,E BEN WHITE BLVD SVRD EB / S CONGRESS AVE,3107951,10054021,1
459817106: 20191881559,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,5,07/07/2019 12:00:00 AM,78704,13,1209 BARTON SPRINGS RD,3109545,10067839,1
1221209: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
1222007: 20191880225,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
288948787: 20191880430,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,2,07/07/2019 12:00:00 AM,78745,24.10,5600 S 1ST ST,3102467,10048766,1
1221053: 20191880225,,,PASSIVE RESISTANCE,MINOR INJURY,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
459824619: 20191880276,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN,3,07/07/2019 12:00:00 AM,78702,9,E 6TH ST / SAN MARCOS ST,3117575,10069745,1
1220901: 20191880225,,,NOT RESISTANT,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
323945018: 20191871916,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78751,3.04,922 E 46TH ST,3122322,10084476,1
459824122: 20191880254,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
1221246: 20191880225,,,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
1221245: 20191880225,,,AGGRESSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/07/2019 12:00:00 AM,78701,11,302 E 6TH ST,3115180,10070609,1
459022864: 20191880871,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,3,07/07/2019 12:00:00 AM,78702,9.02,1621 E 6TH ST,3119810,10068873,1
459824075: 20191870015,M,W,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,9,07/06/2019 12:00:00 AM,78701,-,703 E 7TH ST,3116594,10070417,1
288952048: 20191871794,M,H,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/06/2019 12:00:00 AM,78704,13.07,2906 LOCKE LN,3106208,10059709,1
459824124: 20191871874,M,W,DEFENSIVE RESISTANCE,MINOR INJURY,1,07/06/2019 12:00:00 AM,78702,9,2150 E 7TH ST,3122229,10068701,1
23396807: 20191871457,M,B,AGGRESSIVE RESISTANCE,MINOR INJURY,1,07/06/2019 12:00:00 AM,78721,21.09,3913 E 12TH ST,3130575,10074848,1
267063354: 20191871124,F,H,DEFENSIVE RESISTANCE,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,1,07/06/2019 12:00:00 AM,78753,18.32,11301 NICOLE CV,3137002,10110089,1
459824092: 20191870269,M,B,PASSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/06/2019 12:00:00 AM,78702,9,1600 E 6TH ST,3119580,10069130,1
33136925: 20191870097,M,B,DEFENSIVE RESISTANCE,MINOR INJURY,9,07/06/2019 12:00:00 AM,78701,11,500 E 7TH ST,3115951,10070759,1
459823485: 20191860178,M,W,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,9,07/05/2019 12:00:00 AM,78701,11,401 E 6TH ST,3115439,10070324,1
208667664: 20191861192,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,3,07/05/2019 12:00:00 AM,78741,23.18,1600 MONTOPOLIS DR,3127575,10056470,1
199295498: 20191862525,M,W,AGGRESSIVE RESISTANCE,MINOR INJURY,2,07/05/2019 12:00:00 AM,78747,24.26,6828 SABRINA DR,3116439,10029050,1
459823484: 20191860234,M,H,AGGRESSIVE RESISTANCE,MINOR INJURY,9,07/05/2019 12:00:00 AM,78701,11,600 TRINITY ST,3115403,10070458,1
459215917: 20191861950,M,B,DEFENSIVE RESISTANCE,NO COMPLAINT OF INJURY/PAIN,7,07/05/2019 12:00:00 AM,78756,-,5515 WOODROW AVE,3116795,10092335,1
203884418: 20191861508,M,H,PREPARATORY RESISTANCE,COMPLAINT OF INJURY/PAIN,4,07/05/2019 12:00:00 AM,78753,-,8101 N LAMAR BLVD NB,3123909,10100579,1
